lambda1,lambda2,loss
0.01,0.01,2.1610046797128803
0.01,0.01373823795883263,2.1776036347447194
0.01,0.018873918221350976,2.202529623618824
0.01,0.02592943797404667,2.226599632330316
0.01,0.035622478902624426,2.266693805371285
0.01,0.04893900918477494,2.3186005056155836
0.01,0.06723357536499334,2.3840409789600443
0.01,0.09236708571873861,2.4648457047490147
0.01,0.12689610031679222,2.559620404645004
0.01,0.17433288221999882,2.6650922652533344
0.01,0.2395026619987486,2.7764725485077135
0.01,0.32903445623126676,2.8870752648397118
0.01,0.4520353656360243,2.9913860754966417
0.01,0.6210169418915616,3.085561636612975
0.01,0.8531678524172805,3.167717850079332
0.01,1.1721022975334805,3.2375619053473637
0.01,1.6102620275609392,3.29579280619969
0.01,2.212216291070448,3.3435739300910563
0.01,3.039195382313198,3.3822090354649497
0.01,4.175318936560401,3.4129958791343187
0.01,5.736152510448681,3.4371745129230105
0.01,7.880462815669913,3.455901239275672
0.01,10.82636733874054,3.4702238382633523
0.01,14.873521072935118,3.481059749563989
0.01,20.433597178569418,3.4891844484458288
0.01,28.072162039411758,3.4952326248760506
0.01,38.56620421163472,3.499709764701285
0.01,52.98316906283707,3.503009698285541
0.01,72.78953843983146,3.5054340428650916
0.01,100.0,3.5072107835227184
0.01373823795883263,0.01,2.1602187132296176
0.01373823795883263,0.01373823795883263,2.1769046871918607
0.01373823795883263,0.018873918221350976,2.1983474368888016
0.01373823795883263,0.02592943797404667,2.2277690050443075
0.01373823795883263,0.035622478902624426,2.266642729374003
0.01373823795883263,0.04893900918477494,2.3193116504595492
0.01373823795883263,0.06723357536499334,2.3842506497145757
0.01373823795883263,0.09236708571873861,2.464937204667704
0.01373823795883263,0.12689610031679222,2.5594199648626748
0.01373823795883263,0.17433288221999882,2.665177409822485
0.01373823795883263,0.2395026619987486,2.7765563912050166
0.01373823795883263,0.32903445623126676,2.887149111917553
0.01373823795883263,0.4520353656360243,2.9914231410781844
0.01373823795883263,0.6210169418915616,3.0855848571133935
0.01373823795883263,0.8531678524172805,3.1677172841544388
0.01373823795883263,1.1721022975334805,3.2375402742765873
0.01373823795883263,1.6102620275609392,3.2957496465370726
0.01373823795883263,2.212216291070448,3.3435113833626944
0.01373823795883263,3.039195382313198,3.382129400202963
0.01373823795883263,4.175318936560401,3.412901705666046
0.01373823795883263,5.736152510448681,3.4370683682631933
0.01373823795883263,7.880462815669913,3.4557854997475403
0.01373823795883263,10.82636733874054,3.4701005778198977
0.01373823795883263,14.873521072935118,3.480930698109084
0.01373823795883263,20.433597178569418,3.4890509998865076
0.01373823795883263,28.072162039411758,3.49509587332127
0.01373823795883263,38.56620421163472,3.499570552180657
0.01373823795883263,52.98316906283707,3.50286866336526
0.01373823795883263,72.78953843983146,3.505291664556528
0.01373823795883263,100.0,3.5070674182666353
0.018873918221350976,0.01,2.160387826944935
0.018873918221350976,0.01373823795883263,2.1786770404813525
0.018873918221350976,0.018873918221350976,2.2004999448668814
0.018873918221350976,0.02592943797404667,2.2269261278127326
0.018873918221350976,0.035622478902624426,2.2680417010641607
0.018873918221350976,0.04893900918477494,2.3191853372015125
0.018873918221350976,0.06723357536499334,2.384861174164483
0.018873918221350976,0.09236708571873861,2.465303075640173
0.018873918221350976,0.12689610031679222,2.5600236273290347
0.018873918221350976,0.17433288221999882,2.665292293764037
0.018873918221350976,0.2395026619987486,2.776658987179011
0.018873918221350976,0.32903445623126676,2.8872164827853477
0.018873918221350976,0.4520353656360243,2.9914877415551038
0.018873918221350976,0.6210169418915616,3.0856124642539005
0.018873918221350976,0.8531678524172805,3.1677203998477106
0.018873918221350976,1.1721022975334805,3.2375101352024367
0.018873918221350976,1.6102620275609392,3.295690728666055
0.018873918221350976,2.212216291070448,3.3434259301500986
0.018873918221350976,3.039195382313198,3.382020433637461
0.018873918221350976,4.175318936560401,3.412772769122436
0.018873918221350976,5.736152510448681,3.4369229873970633
0.018873918221350976,7.880462815669913,3.4556269393359997
0.018873918221350976,10.82636733874054,3.4699316866759964
0.018873918221350976,14.873521072935118,3.4807538524630566
0.018873918221350976,20.433597178569418,3.488868114420323
0.018873918221350976,28.072162039411758,3.4949084509026584
0.018873918221350976,38.56620421163472,3.4993797494162293
0.018873918221350976,52.98316906283707,3.5026753573828984
0.018873918221350976,72.78953843983146,3.505096513319864
0.018873918221350976,100.0,3.5068709113772045
0.02592943797404667,0.01,2.1671753855743114
0.02592943797404667,0.01373823795883263,2.180084033658308
0.02592943797404667,0.018873918221350976,2.1989860207550027
0.02592943797404667,0.02592943797404667,2.229542157920784
0.02592943797404667,0.035622478902624426,2.2671045990972742
0.02592943797404667,0.04893900918477494,2.3196995329073333
0.02592943797404667,0.06723357536499334,2.386194575039217
0.02592943797404667,0.09236708571873861,2.4658195867958232
0.02592943797404667,0.12689610031679222,2.560420765529105
0.02592943797404667,0.17433288221999882,2.6654760579899315
0.02592943797404667,0.2395026619987486,2.7768211803827896
0.02592943797404667,0.32903445623126676,2.8873402992423474
0.02592943797404667,0.4520353656360243,2.9915713157752037
0.02592943797404667,0.6210169418915616,3.0856562817240905
0.02592943797404667,0.8531678524172805,3.1677207676879746
0.02592943797404667,1.1721022975334805,3.2374700777343812
0.02592943797404667,1.6102620275609392,3.2956107727419215
0.02592943797404667,2.212216291070448,3.3433093298251295
0.02592943797404667,3.039195382313198,3.3818715619525705
0.02592943797404667,4.175318936560401,3.4125964644994866
0.02592943797404667,5.736152510448681,3.4367240963602095
0.02592943797404667,7.880462815669913,3.455409945744684
0.02592943797404667,10.82636733874054,3.4697005036432307
0.02592943797404667,14.873521072935118,3.480511743849822
0.02592943797404667,20.433597178569418,3.4886177100958653
0.02592943797404667,28.072162039411758,3.4946518150796684
0.02592943797404667,38.56620421163472,3.499118470702804
0.02592943797404667,52.98316906283707,3.5024106405159285
0.02592943797404667,72.78953843983146,3.5048292620110573
0.02592943797404667,100.0,3.506601798091868
0.035622478902624426,0.01,2.1661290417428445
0.035622478902624426,0.01373823795883263,2.1795358723490112
0.035622478902624426,0.018873918221350976,2.2015172152925127
0.035622478902624426,0.02592943797404667,2.228959296143361
0.035622478902624426,0.035622478902624426,2.2695908214553646
0.035622478902624426,0.04893900918477494,2.3203709994750357
0.035622478902624426,0.06723357536499334,2.3865445138932735
0.035622478902624426,0.09236708571873861,2.466826325194304
0.035622478902624426,0.12689610031679222,2.5609113535156602
0.035622478902624426,0.17433288221999882,2.6656182092315146
0.035622478902624426,0.2395026619987486,2.776972339802037
0.035622478902624426,0.32903445623126676,2.887495090923433
0.035622478902624426,0.4520353656360243,2.991686733895734
0.035622478902624426,0.6210169418915616,3.0857184599939322
0.035622478902624426,0.8531678524172805,3.167724465268077
0.035622478902624426,1.1721022975334805,3.2374167864124788
0.035622478902624426,1.6102620275609392,3.2955024583868218
0.035622478902624426,2.212216291070448,3.343150712292612
0.035622478902624426,3.039195382313198,3.381668596000302
0.035622478902624426,4.175318936560401,3.4123558234680127
0.035622478902624426,5.736152510448681,3.4364524340342877
0.035622478902624426,7.880462815669913,3.455113421086274
0.035622478902624426,10.82636733874054,3.4693844911692815
0.035622478902624426,14.873521072935118,3.4801807262800475
0.035622478902624426,20.433597178569418,3.488275299337294
0.035622478902624426,28.072162039411758,3.494300846123425
0.035622478902624426,38.56620421163472,3.498761125326471
0.035622478902624426,52.98316906283707,3.502048573282978
0.035622478902624426,72.78953843983146,3.5044637140575032
0.035622478902624426,100.0,3.506233692962809
0.04893900918477494,0.01,2.1693634915227906
0.04893900918477494,0.01373823795883263,2.1842970686687133
0.04893900918477494,0.018873918221350976,2.2036737088920737
0.04893900918477494,0.02592943797404667,2.232253466680926
0.04893900918477494,0.035622478902624426,2.270868098949633
0.04893900918477494,0.04893900918477494,2.3219869141261684
0.04893900918477494,0.06723357536499334,2.3868987843577267
0.04893900918477494,0.09236708571873861,2.4682949273881234
0.04893900918477494,0.12689610031679222,2.561612321347587
0.04893900918477494,0.17433288221999882,2.6659125316366894
0.04893900918477494,0.2395026619987486,2.777263806448272
0.04893900918477494,0.32903445623126676,2.8877174539622876
0.04893900918477494,0.4520353656360243,2.9918469961587957
0.04893900918477494,0.6210169418915616,3.085806912268716
0.04893900918477494,0.8531678524172805,3.167733345604105
0.04893900918477494,1.1721022975334805,3.2373462485006024
0.04893900918477494,1.6102620275609392,3.2953565360175445
0.04893900918477494,2.212216291070448,3.342935677667703
0.04893900918477494,3.039195382313198,3.3813927054077197
0.04893900918477494,4.175318936560401,3.412028189039863
0.04893900918477494,5.736152510448681,3.436082198014026
0.04893900918477494,7.880462815669913,3.454709042432743
0.04893900918477494,10.82636733874054,3.468953350964599
0.04893900918477494,14.873521072935118,3.4797289806386376
0.04893900918477494,20.433597178569418,3.487807908363616
0.04893900918477494,28.072162039411758,3.4938217029472973
0.04893900918477494,38.56620421163472,3.4982732260235196
0.04893900918477494,52.98316906283707,3.5015541899263822
0.04893900918477494,72.78953843983146,3.5039645509857578
0.04893900918477494,100.0,3.5057310183908603
0.06723357536499334,0.01,2.1679109900432727
0.06723357536499334,0.01373823795883263,2.183255076305694
0.06723357536499334,0.018873918221350976,2.2041998982250344
0.06723357536499334,0.02592943797404667,2.232397436124973
0.06723357536499334,0.035622478902624426,2.273041969786691
0.06723357536499334,0.04893900918477494,2.3239986291864683
0.06723357536499334,0.06723357536499334,2.38952082136841
0.06723357536499334,0.09236708571873861,2.470140121176646
0.06723357536499334,0.12689610031679222,2.562694248292426
0.06723357536499334,0.17433288221999882,2.666469496603069
0.06723357536499334,0.2395026619987486,2.7776275830093278
0.06723357536499334,0.32903445623126676,2.888032784211432
0.06723357536499334,0.4520353656360243,2.992062950881834
0.06723357536499334,0.6210169418915616,3.0859290833885824
0.06723357536499334,0.8531678524172805,3.1677496134721244
0.06723357536499334,1.1721022975334805,3.2372546300778993
0.06723357536499334,1.6102620275609392,3.29516175399758
0.06723357536499334,2.212216291070448,3.3426458223533486
0.06723357536499334,3.039195382313198,3.3810192364404124
0.06723357536499334,4.175318936560401,3.4115836713738146
0.06723357536499334,5.736152510448681,3.435579183690188
0.06723357536499334,7.880462815669913,3.4541591482166822
0.06723357536499334,10.82636733874054,3.468366712380528
0.06723357536499334,14.873521072935118,3.4791140506519085
0.06723357536499334,20.433597178569418,3.4871714974731383
0.06723357536499334,28.072162039411758,3.493169156516216
0.06723357536499334,38.56620421163472,3.4976086576738057
0.06723357536499334,52.98316906283707,3.5008807191884905
0.06723357536499334,72.78953843983146,3.5032845178790657
0.06723357536499334,100.0,3.5050461641372292
0.09236708571873861,0.01,2.17435968460052
0.09236708571873861,0.01373823795883263,2.183624100165105
0.09236708571873861,0.018873918221350976,2.2108891150064824
0.09236708571873861,0.02592943797404667,2.236429947804667
0.09236708571873861,0.035622478902624426,2.27691945380879
0.09236708571873861,0.04893900918477494,2.327746365564157
0.09236708571873861,0.06723357536499334,2.3923596499680917
0.09236708571873861,0.09236708571873861,2.4721822016815787
0.09236708571873861,0.12689610031679222,2.5639919592235816
0.09236708571873861,0.17433288221999882,2.6669308822414086
0.09236708571873861,0.2395026619987486,2.778153934720564
0.09236708571873861,0.32903445623126676,2.888481709050752
0.09236708571873861,0.4520353656360243,2.992391077519713
0.09236708571873861,0.6210169418915616,3.086109991015283
0.09236708571873861,0.8531678524172805,3.1677824629557714
0.09236708571873861,1.1721022975334805,3.2371396793730476
0.09236708571873861,1.6102620275609392,3.2949043325393235
0.09236708571873861,2.212216291070448,3.3422580477441897
0.09236708571873861,3.039195382313198,3.3805166552929946
0.09236708571873861,4.175318936560401,3.410983539964183
0.09236708571873861,5.736152510448681,3.4348987466289316
0.09236708571873861,7.880462815669913,3.4534143557384964
0.09236708571873861,10.82636733874054,3.46757147978717
0.09236708571873861,14.873521072935118,3.478279982434041
0.09236708571873861,20.433597178569418,3.4863079428637898
0.09236708571873861,28.072162039411758,3.4922834532303
0.09236708571873861,38.56620421163472,3.4967064524638274
0.09236708571873861,52.98316906283707,3.49996629415782
0.09236708571873861,72.78953843983146,3.502361085081527
0.09236708571873861,100.0,3.5041161136626684
0.12689610031679222,0.01,2.176999068243126
0.12689610031679222,0.01373823795883263,2.190069913630265
0.12689610031679222,0.018873918221350976,2.213616542272227
0.12689610031679222,0.02592943797404667,2.238949550037157
0.12689610031679222,0.035622478902624426,2.280014319191669
0.12689610031679222,0.04893900918477494,2.3291170501046894
0.12689610031679222,0.06723357536499334,2.394960124397333
0.12689610031679222,0.09236708571873861,2.4751207290511505
0.12689610031679222,0.12689610031679222,2.5656490927833078
0.12689610031679222,0.17433288221999882,2.6678126294514013
0.12689610031679222,0.2395026619987486,2.778912243964582
0.12689610031679222,0.32903445623126676,2.889092951384993
0.12689610031679222,0.4520353656360243,2.9928459318062157
0.12689610031679222,0.6210169418915616,3.086380045939147
0.12689610031679222,0.8531678524172805,3.167848425190515
0.12689610031679222,1.1721022975334805,3.2370009937811455
0.12689610031679222,1.6102620275609392,3.2945702050687844
0.12689610031679222,2.212216291070448,3.3417449816327847
0.12689610031679222,3.039195382313198,3.379845996788893
0.12689610031679222,4.175318936560401,3.410178992664364
0.12689610031679222,5.736152510448681,3.433983982579295
0.12689610031679222,7.880462815669913,3.4524112716691633
0.12689610031679222,10.82636733874054,3.4664991757117334
0.12689610031679222,14.873521072935118,3.4771543850304516
0.12689610031679222,20.433597178569418,3.4851418827558427
0.12689610031679222,28.072162039411758,3.4910870000623313
0.12689610031679222,38.56620421163472,3.4954873551227266
0.12689610031679222,52.98316906283707,3.4987304287388468
0.12689610031679222,72.78953843983146,3.501112859246033
0.12689610031679222,100.0,3.5028588071185647
0.17433288221999882,0.01,2.183024310977313
0.17433288221999882,0.01373823795883263,2.1970752563104203
0.17433288221999882,0.018873918221350976,2.21720931350185
0.17433288221999882,0.02592943797404667,2.2422060168659557
0.17433288221999882,0.035622478902624426,2.28441778406693
0.17433288221999882,0.04893900918477494,2.3344761029227135
0.17433288221999882,0.06723357536499334,2.4001286117777125
0.17433288221999882,0.09236708571873861,2.480125016314079
0.17433288221999882,0.12689610031679222,2.5676084198108833
0.17433288221999882,0.17433288221999882,2.668929914672126
0.17433288221999882,0.2395026619987486,2.779977719031403
0.17433288221999882,0.32903445623126676,2.88998393608638
0.17433288221999882,0.4520353656360243,2.993524013136056
0.17433288221999882,0.6210169418915616,3.0867867256878294
0.17433288221999882,0.8531678524172805,3.1679758173499364
0.17433288221999882,1.1721022975334805,3.2368471975707904
0.17433288221999882,1.6102620275609392,3.2941481100882917
0.17433288221999882,2.212216291070448,3.3410772920455605
0.17433288221999882,3.039195382313198,3.378962013816005
0.17433288221999882,4.175318936560401,3.4091112967730863
0.17433288221999882,5.736152510448681,3.432765074850548
0.17433288221999882,7.880462815669913,3.4510712032747692
0.17433288221999882,10.82636733874054,3.465064154333672
0.17433288221999882,14.873521072935118,3.475646261210285
0.17433288221999882,20.433597178569418,3.483578257888282
0.17433288221999882,28.072162039411758,3.4894816871462817
0.17433288221999882,38.56620421163472,3.4938509832372473
0.17433288221999882,52.98316906283707,3.4970710578441846
0.17433288221999882,72.78953843983146,3.4994365350011982
0.17433288221999882,100.0,3.5011700279895783
0.2395026619987486,0.01,2.192554605449639
0.2395026619987486,0.01373823795883263,2.2105810845930525
0.2395026619987486,0.018873918221350976,2.2243192121726336
0.2395026619987486,0.02592943797404667,2.2523995507899137
0.2395026619987486,0.035622478902624426,2.2914262398722425
0.2395026619987486,0.04893900918477494,2.3422719173905953
0.2395026619987486,0.06723357536499334,2.4072574271497396
0.2395026619987486,0.09236708571873861,2.485663928998636
0.2395026619987486,0.12689610031679222,2.5694328345991613
0.2395026619987486,0.17433288221999882,2.6706550503785547
0.2395026619987486,0.2395026619987486,2.78152195807143
0.2395026619987486,0.32903445623126676,2.8912967529389415
0.2395026619987486,0.4520353656360243,2.994508790353025
0.2395026619987486,0.6210169418915616,3.087415871931616
0.2395026619987486,0.8531678524172805,3.1682190222943754
0.2395026619987486,1.1721022975334805,3.2367056759799326
0.2395026619987486,1.6102620275609392,3.2936380780993444
0.2395026619987486,2.212216291070448,3.3402300954243587
0.2395026619987486,3.039195382313198,3.3778181332139376
0.2395026619987486,4.175318936560401,3.4077154564830607
0.2395026619987486,5.736152510448681,3.431161885541273
0.2395026619987486,7.880462815669913,3.4493018919179583
0.2395026619987486,10.82636733874054,3.4631646644051535
0.2395026619987486,14.873521072935118,3.4736465550601436
0.2395026619987486,20.433597178569418,3.4815024683737783
0.2395026619987486,28.072162039411758,3.4873487514134234
0.2395026619987486,38.56620421163472,3.4916754725764747
0.2395026619987486,52.98316906283707,3.494864021138986
0.2395026619987486,72.78953843983146,3.4972062596309903
0.2395026619987486,100.0,3.498922680323722
0.32903445623126676,0.01,2.2042714464507256
0.32903445623126676,0.01373823795883263,2.216204092393444
0.32903445623126676,0.018873918221350976,2.2336571395870535
0.32903445623126676,0.02592943797404667,2.2629238572886115
0.32903445623126676,0.035622478902624426,2.301651833644973
0.32903445623126676,0.04893900918477494,2.3519211248299903
0.32903445623126676,0.06723357536499334,2.4163698108121343
0.32903445623126676,0.09236708571873861,2.493151417242855
0.32903445623126676,0.12689610031679222,2.5722779173411334
0.32903445623126676,0.17433288221999882,2.6731447478512704
0.32903445623126676,0.2395026619987486,2.783812370369464
0.32903445623126676,0.32903445623126676,2.8932273114699685
0.32903445623126676,0.4520353656360243,2.9959992769172876
0.32903445623126676,0.6210169418915616,3.088408883100157
0.32903445623126676,0.8531678524172805,3.1686847928869506
0.32903445623126676,1.1721022975334805,3.2366423076633994
0.32903445623126676,1.6102620275609392,3.2930690415657247
0.32903445623126676,2.212216291070448,3.3391985362216965
0.32903445623126676,3.039195382313198,3.3763798043089652
0.32903445623126676,4.175318936560401,3.4059317949395584
0.32903445623126676,5.736152510448681,3.429094098956294
0.32903445623126676,7.880462815669913,3.447006508113465
0.32903445623126676,10.82636733874054,3.4606909479649772
0.32903445623126676,14.873521072935118,3.4710355624370814
0.32903445623126676,20.433597178569418,3.478787262591171
0.32903445623126676,28.072162039411758,3.4845552742577595
0.32903445623126676,38.56620421163472,3.4888236835630964
0.32903445623126676,52.98316906283707,3.491969054035356
0.32903445623126676,72.78953843983146,3.494279465314267
0.32903445623126676,100.0,3.495972504384401
0.4520353656360243,0.01,2.222686892444845
0.4520353656360243,0.01373823795883263,2.233673746154145
0.4520353656360243,0.018873918221350976,2.2528349016328075
0.4520353656360243,0.02592943797404667,2.2783897143604315
0.4520353656360243,0.035622478902624426,2.31710035076008
0.4520353656360243,0.04893900918477494,2.366842245756566
0.4520353656360243,0.06723357536499334,2.429019759762652
0.4520353656360243,0.09236708571873861,2.5014806448756604
0.4520353656360243,0.12689610031679222,2.5762883337908744
0.4520353656360243,0.17433288221999882,2.6768244550011904
0.4520353656360243,0.2395026619987486,2.787191962762041
0.4520353656360243,0.32903445623126676,2.896143673568697
0.4520353656360243,0.4520353656360243,2.998308945287234
0.4520353656360243,0.6210169418915616,3.0900276862962346
0.4520353656360243,0.8531678524172805,3.169573887116745
0.4520353656360243,1.1721022975334805,3.2368022626367647
0.4520353656360243,1.6102620275609392,3.2925354806130143
0.4520353656360243,2.212216291070448,3.3380311243218466
0.4520353656360243,3.039195382313198,3.3746551207947943
0.4520353656360243,4.175318936560401,3.4037342268837634
0.4520353656360243,5.736152510448681,3.426507580780471
0.4520353656360243,7.880462815669913,3.4441084915116362
0.4520353656360243,10.82636733874054,3.457548895904573
0.4520353656360243,14.873521072935118,3.467705678174833
0.4520353656360243,20.433597178569418,3.4753147966331426
0.4520353656360243,28.072162039411758,3.4809757254079137
0.4520353656360243,38.56620421163472,3.4851643615674135
0.4520353656360243,52.98316906283707,3.488250664238739
0.4520353656360243,72.78953843983146,3.4905175366655294
0.4520353656360243,100.0,3.492178590725981
0.6210169418915616,0.01,2.2474295372282245
0.6210169418915616,0.01373823795883263,2.261345555099364
0.6210169418915616,0.018873918221350976,2.2806165758976165
0.6210169418915616,0.02592943797404667,2.301824216623018
0.6210169418915616,0.035622478902624426,2.3409748149562484
0.6210169418915616,0.04893900918477494,2.3873584569184145
0.6210169418915616,0.06723357536499334,2.4443191292146675
0.6210169418915616,0.09236708571873861,2.5087662095837855
0.6210169418915616,0.12689610031679222,2.582852425285105
0.6210169418915616,0.17433288221999882,2.6825105850864497
0.6210169418915616,0.2395026619987486,2.792377992727284
0.6210169418915616,0.32903445623126676,2.900640225674819
0.6210169418915616,0.4520353656360243,3.0019545342770417
0.6210169418915616,0.6210169418915616,3.0927175208449014
0.6210169418915616,0.8531678524172805,3.171261370735544
0.6210169418915616,1.1721022975334805,3.2374902092240463
0.6210169418915616,1.6102620275609392,3.2922714650078158
0.6210169418915616,2.212216291070448,3.3368987221689514
0.6210169418915616,3.039195382313198,3.3727600655197136
0.6210169418915616,4.175318936560401,3.4011924163047573
0.6210169418915616,5.736152510448681,3.4234340416072135
0.6210169418915616,7.880462815669913,3.4406092357026323
0.6210169418915616,10.82636733874054,3.4537161943524515
0.6210169418915616,14.873521072935118,3.4636163647396288
0.6210169418915616,20.433597178569418,3.4710307124104745
0.6210169418915616,28.072162039411758,3.4765453740573
0.6210169418915616,38.56620421163472,3.4806250521574826
0.6210169418915616,52.98316906283707,3.483630680355181
0.6210169418915616,72.78953843983146,3.485838089372218
0.6210169418915616,100.0,3.4874554606528414
0.8531678524172805,0.01,2.2874012352043986
0.8531678524172805,0.01373823795883263,2.2985635799128645
0.8531678524172805,0.018873918221350976,2.311643693312994
0.8531678524172805,0.02592943797404667,2.334005996313225
0.8531678524172805,0.035622478902624426,2.368888341227388
0.8531678524172805,0.04893900918477494,2.4094849321153466
0.8531678524172805,0.06723357536499334,2.457562177237592
0.8531678524172805,0.09236708571873861,2.518636443824718
0.8531678524172805,0.12689610031679222,2.5927600253678276
0.8531678524172805,0.17433288221999882,2.6913358118735786
0.8531678524172805,0.2395026619987486,2.800478787498179
0.8531678524172805,0.32903445623126676,2.9077542996255854
0.8531678524172805,0.4520353656360243,3.0078793205788052
0.8531678524172805,0.6210169418915616,3.0973075278214064
0.8531678524172805,0.8531678524172805,3.174463538197444
0.8531678524172805,1.1721022975334805,3.2393169901144083
0.8531678524172805,1.6102620275609392,3.2927936696057287
0.8531678524172805,2.212216291070448,3.336232729407956
0.8531678524172805,3.039195382313198,3.371051893695139
0.8531678524172805,4.175318936560401,3.3986011956053757
0.8531678524172805,5.736152510448681,3.4201172640053237
0.8531678524172805,7.880462815669913,3.4367118021841874
0.8531678524172805,10.82636733874054,3.4493640925925306
